date,사용자,세션,신규방문자,페이지뷰,cnt_signin,cnt_login,cnt_sub,total_participants,isTrain
2019-07-04,625,632,232,4693,7.0,83.0,2.0,786,1
2019-07-05,596,600,175,5950,5.0,119.0,6.0,786,1
2019-07-06,526,540,140,5309,5.0,115.0,10.0,786,1
2019-07-07,422,453,86,5374,14.0,144.0,5.0,786,1
2019-07-08,505,545,105,6402,16.0,179.0,14.0,786,1
2019-07-09,502,514,168,6649,3.0,96.0,17.0,517,1
2019-07-10,482,518,125,7941,25.0,130.0,13.0,517,1
2019-07-11,644,658,184,11018,17.0,203.0,16.0,1141,1
2019-07-12,618,617,252,9431,14.0,135.0,3.0,1141,1
2019-07-13,349,365,91,5035,11.0,139.0,4.0,1141,1
2019-07-14,327,348,76,4676,9.0,147.0,25.0,1141,1
2019-07-15,480,497,127,7736,13.0,193.0,51.0,1141,1
2019-07-16,420,453,111,6667,10.0,172.0,37.0,1141,1
2019-07-17,452,463,97,7549,13.0,174.0,48.0,1141,1
2019-07-18,513,523,117,8601,9.0,184.0,91.0,1141,1
2019-07-19,504,508,128,9277,10.0,185.0,85.0,800,1
2019-07-20,364,391,93,4882,5.0,192.0,49.0,624,1
2019-07-21,321,329,82,4181,7.0,154.0,32.0,624,1
2019-07-22,530,536,170,9514,17.0,187.0,72.0,624,1
2019-07-23,615,610,158,10947,18.0,227.0,89.0,624,1
2019-07-24,646,669,242,8700,16.0,190.0,104.0,624,1
2019-07-25,517,527,126,7693,11.0,168.0,124.0,624,1
2019-07-26,522,515,123,8240,16.0,228.0,155.0,624,1
2019-07-27,301,316,72,4433,8.0,138.0,34.0,624,1
2019-07-28,295,302,65,4712,11.0,123.0,27.0,624,1
2019-07-29,405,445,87,6504,19.0,219.0,34.0,624,1
2019-07-30,593,632,186,8594,22.0,225.0,24.0,624,1
2019-07-31,445,453,88,6748,8.0,145.0,30.0,624,1
2019-08-01,376,379,87,5733,7.0,160.0,26.0,624,1
2019-08-02,319,338,64,3742,3.0,111.0,34.0,624,1
2019-08-03,241,252,66,2877,6.0,86.0,24.0,624,1
2019-08-04,319,336,78,4650,19.0,122.0,46.0,624,1
2019-08-05,470,486,120,6349,10.0,180.0,46.0,624,1
2019-08-06,421,445,94,6898,15.0,224.0,30.0,624,1
2019-08-07,423,433,78,7384,4.0,178.0,43.0,624,1
2019-08-08,480,479,89,8911,11.0,193.0,41.0,624,1
2019-08-09,424,431,118,6271,9.0,136.0,21.0,624,1
